Dato 2024,Festival,By / Sted,URL,Bemærk,Størrelse (anslået),,
,,,,,,,
Januar,,,,,,,
6/1,Foxtail Festival - Snowfox,København,https://www.facebook.com/foxtailfestival/,,1,,
12-13/1,Epic Fest,Roskilde,,,1,,
20/1,Indisciplinarian Fest,København,,,1,,
20/1,Megamix,Hammel,https://www.facebook.com/events/hammel-idr%C3%A6tscenter/megamix-2024-hammel-20012024/862838052146815/,,1,,
,,,,,,,
Februar,,,,,,,
1-3/2,Folk & Fæstival,Esbjerg,https://folkogfaestival.dk/,,2,,
1-3/2,Northern Winter Beat,Aalborg,https://www.winterbeat.dk/,,1,,
1-25/2,Vinter Jazz,Danmark,https://jazz.dk/vinterjazz-2024/forside/,,2,,
2-3/2,Sorte Firkant Musikfestival ,København,https://www.stengade.dk/show/2024/2/2/sorte-firkant-musikfestival,,1,,
8-11/2,Strib Vinter Festival,Strib/Middelfart,https://guf-stribvinterfestival.dk/svf/,,2,,
9-10/2,Anthem of the Awakened,Fredericia,https://gimle.dk/event/twodaysaota/,,1,,
10/2,Relevance,København,https://www.relevancefestival.dk/,,1,,
17/2,White wonderworld,Brøndby,https://whitewonderworld.dk/,,1,,
,,,,,,,
Marts,,,,,,,
1-2/3,Viborg Metal Festival,Viborg,https://www.viborgmetalfestival.dk/,,2,,
1-2/3,Back to the Roots,Rinkenæs,https://bttr.dk/,,2,,
2/3,Centrum Vest,Brabrand,https://www.centrumvest.dk/,,1,,
9/3,Struer's Fedeste Indendørs Musik Festival,Struer,https://struerenergiparkevents.dk/tc-events/early-bird-musik-festival-2024/,,1,,
15-17/3,Latin Vibes Festival,København,https://www.facebook.com/latinvibesdk/,,2,,
16/3,Bassfest,Aalborg,https://akkc.dk/arrangementer/musik-teater/koncert/bassfest/,,1,,
27/3,Tam Tam,Brøndby,https://www.facebook.com/tamtam.dk/,,1,,
,,,,,,,
April,,,,,,,
19-20/4,Devil Cook Festival,Aalborg,,,1,,
20-21/4,Tivoli Gospel Festival,København,https://www.facebook.com/events/941522586854657,,1,,
26-27/4,Himmelflugt Festival,København,https://www.facebook.com/events/1076307356880444/1076307366880443/,,1,,
,,,,,,,
Maj,,,,,,,
3-4/5,Spot Festival,Århus,https://spotfestival.dk/,,3,,
4/5,Folkets Festival,København,https://www.folketsfestival.com/,,1,,
10-11/5,Nordic Noise,København,https://nordicnoise.dk/,,2,,
10-11/5,Dark Mental Festival,København,https://www.facebook.com/events/1506750930094020,,1,,
16-18/5,A Colossal Weekend,København,https://www.acolossalweekend.dk/tickets,,1,,
17-18/5,Surround Festival,Roskilde,https://surroundfestival.dk/,,1,,
?,Aabenraa Musikfestival,Aabenraa,https://www.aabenraamusikfestival.dk/,Formodet død,1,,
17-18/5,Heavy Agger Metal Festival,Agger ,https://heavyagger.dk/,,2,,
17-18/5,Mekkaval,Odense,https://www.facebook.com/metalmekka/,,1,,
17-19/5,Svendborgsund Dansktopfestival,Svendborg ,https://dansktopfestival.dk/,,2,,
?,Gennem Porten,Albertslund,https://www.porten.dk/events/gennem-porten-festivalen,,1,,
19/5,Whitsun,Lolland ,https://whitsun.dk/,,1,,
22-26/5,Spor Festival,Århus,https://www.sporfestival.dk/,,2,,
23-26/5,Jelling Musikfestival,Jelling,https://jellingmusikfestival.dk/,,4,,
24-25/5,Herning Rocker,Herning ,https://herningrocker.dk/,,3,,
24-25/5,Scandisound,København,https://www.facebook.com/events/2514415442070913,,1,,
25/5,Kilen Rock,Struer,https://kilenrock.dk/,,1,,
28/5,Skive Handicap Festival,Skive,https://handicapfestival.dk/,,1,,
29/5-2/6,Distortion,København,https://www.cphdistortion.dk/,,5,,
29-30/5,Sjællandsfestivalen,Slagelse,https://www.sjaellandsfestivalen.dk/,,2,,
30/5-1/6,Hede Rytmer,Silkeborg,https://hederytmer.dk/,,3,,
30/5-1/6,Skive Festival,Skive,https://skivefestival.dk/,,3,,
31/5-1/6,Esbjerg Fuzztival,Esbjerg,https://www.fuzztival.com/,,2,,
31/5-1/6,Sommersol på Slottet,Charlottenlund Slot,https://sommersolpaaslottet.dk/,,2,,
31/5-1/6,Rosenholm Festival,Hornslet,https://rosenholm-festival.dk/,,2,,
31/5-1/6,Dragør Fortet Live,Dragør,https://fortet-live.dk/,,2,,
,,,,,,,
Juni,,,,,,,
1/6,Løgstør Open Air,Løgstør,https://www.logstoropenair.dk/,,2,,
3-9/6,SV-Festival,København,https://sv-festival.dk/,,3,,
6-8/6,Haze Over Haarum,Haboøre ,https://www.haze.dk/,,2,,
6-8/6,NorthSide Festival,Århus,https://northside.dk,,4,,
7-8/6,Skvulp,Holbæk,https://www.skvulpfestival.dk/,,1,,
?,Hornsrock,Skibby,http://hornsrock.dk/,,1,,
7-8/6,Rock under Broen,Middelfart,https://rockunderbroen.dk/,,2,,
7-8/6,Kun For Forrykte Festival,Stubbekøbing,https://kunforforrykte.com/,,1,,
7-8/6,Nord-Als Musikfestival,Nordborg,https://musikfestival.dk/,,1,,
7-8/6,Musik i Østerskoven,Hobro,https://miø.dk/,,1,,
7-8/6,Engage Festival,København,https://engagefestival.dk/,,3,,
7-14/6,Klang Festival,København,https://klang.dk/,,1,,
8/6,Fyns Fla’ U,Lumby,https://www.flau.dk/,,1,,
8/6,Rock i Frederikshavn,Frederikshavn,https://rockifrederikshavn.dk/,,2,,
8/6,Blåvandshuk Musikfestival,Oksbøl,https://blaavandshukmusikfestival.dk/,,1,,
?,Nordfyns Festival,Bogense,https://nordfynsfestival.dk/,,2,,
11-13/6,Sølund Musik-Festival,Skanderborg,https://solundfestivalen.dk/,Festival for handicappede,2,,
13-15/6,Heartland,Egeskov Slot,https://heartlandfestival.dk/,,4,,
14/6,Rock i Søby,Søby,https://branderocker.dk/rock-i-soeby-juni-2024/,Stort dato-skifte,1,,
?,Hampen Camping Country Festival,Hampen,https://hampencamping.dk/,,1,, 
14-15/6,Ikast Musikliv,Ikast,,,1,,
14-15/6,Haslev Festdage,Haslev,https://www.haslevfestdage.dk/,,1,,
14-16/6,Karup Å-festival,Karup,https://www.hessellundcamping.dk/karup-aa-festival/,,1,,
?,Aarhus Lydkunstfestival,Århus,https://lydkunstfestival.dk/,,1,,
15/6,Give Open Air,Give ,https://www.giveopenair.dk/,,2,,
15/6,Marienlyst Park Festival,Århus,https://www.verden-til-herredsvang.dk/,,1,,
?,Vandkraft Musikfestival,Holstebro,,,1,,
15/6,Balslev Festival,Balslev,https://www.facebook.com/www.balslevfestival.dk,,1,,
19-22/6,Copenhell,København,https://www.copenhell.dk/,,4,,
19-22/6,Festival & Friends,København,https://www.festivalnfriends.com/,,1,,
20-22/6,Hopcreek Festival,Humlebæk ,https://www.facebook.com/groups/4077325992387415/,,1,,
20-22/6,Truckstop Festival,Øster Hurup,https://truckstop.dk/,,1,,
21-22/6,Havblik Festival,Bogø Havn,https://havblikfestival.dk/,,1,,
22/6,Owen Luft Kånsert,Varde,https://owen-luft.dk/,,1,,
26-30/6,Riverboat Jazz Festival,Silkeborg,https://riverboat.dk/en/,,3,,
27-29/6,Kløften Festival,Haderslev,https://kloften.dk/,,1,,
27-29/6,Tinderbox,Odense,https://tinderbox.dk,,4,,
28-29/6,THY Rock,Thisted,https://thyrock.dk/,,3,,
28-29/6,Sommersol i Bakkerne,Hobro,https://sommersolibakkerne.dk/,,1,,
28-29/6,Malling Bjerge Festival,Malling,https://www.facebook.com/danmarkshemmeligstefestival/,,1,,
29/6,Rockfestival Horsens,Horsens,https://rockfestival.site/,,1,,
29/6,Rock i Ringkøbing,Ringkøbing,https://www.rockiring.dk/,,1,,
29/6-6/7,Roskilde Festival,Roskilde,https://www.roskilde-festival.dk,,5,,
,,,,,,,
Juli,,,,,,,
2-5/7,Vilde Vulkaner,Vordingborg ,https://www.vildevulkaner.dk/,,2,,
2-9/7,Hindsgavl Festival,Middelfart,http://hindsgavlfestival.dk/,,1,,
3-6/7,Nibe Festival,Nibe,https://nibefestival.dk/,,3,,
4-7/7,Skagen Festival,Skagen ,https://skagenfestival.dk/,,2,,
5-7/7,Nordic Folk Festival,Livø,https://nordicfolkfestival.dk/,,1,,
5-7/7,Culture Camp,Rudkøbing,https://culturecamp.dk/,,1,,
?,Live Valdemars Slot,Troense,,,1,,
5-14/7,Copenhagen Jazz Festival,København,https://jazz.dk/copenhagen-jazz-festival-2024/forside/,,5,,
6/7,Danmark Dejligst,Hejlsminde,https://www.danmark-dejligst.dk/,,1,,
6-7/7,Drejø Musikdage,Drejø,https://www.facebook.com/drejomusikdage/,,1,,
?,Kystfest Musikfestival,Ebeltoft,,,1,,
?,Ruby and friends,København,,,1,,
10-11/7,Liv & Glade Dageløkke,Langeland,https://livoggladedageloekke.dk/,,2,,
10-14/7,Juelsminde Havnefest,Juelsminde,https://juelsmindehavnefest.dk/,,1,,
11-13/7,Vig Festival,Vig,https://vigfestival.dk/,,3,,
11-13/7,Metal Magic,Fredericia,https://metal-magic.dk/,,1,,
12-14/7,Bakkefest,Gilleleje,https://bakkefest.dk/,,1,,
13/7,Løkken Koncert,Løkken ,https://www.loekkenkoncert.dk/,,2,,
13/7,ABC Beach Party,Grenå,https://beachparty.dk/,,2,,
?,Bas Under Buen,Frederiksberg,https://ohoi.dk/basunderbuen/,,1,,
?,Byggefestivalen,Ebeltoft,https://byggefest.dk/,,1,,
?,Eskapist Festival,Odense,,,1,,
13-20/7,Aarhus Jazz Festival,Århus,https://www.jazzfest.dk/,,4,,
15/7,Beach Party,København,https://gravitycph.dk/event/beach-party/,,1,,
?,Playground Organic Raving,København,,,1,,
?,Stjerner over Farø Le Have Fest,Bogø,https://www.facebook.com/p/Stjerner-over-Far%C3%B8-Le-Havefest-100083416773605/,,1,,
17-20/7,Samsø Festival,"Ballen, Samsø ",https://www.samfest.dk/,,3,,
?,Fejøs Festival,Vesterby,https://fejosfestival.dk/,,1,,
18-20/7,Musik i Lejet,Tisvildeleje,https://www.musikilejet.dk/,,1,,
18-21/7,Maribo Jazz,Maribo,https://maribojazz.dk/,,1,,
?,Grøn,"Tårnby, Kolding, Århus, Aalborg",https://groenkoncert.dk/,,4,,
19-20/7,Øhavet Festival,"Marstal, Ærø",https://www.oehavet.dk/,,1,,
19-21/7,Lirekassefestival,Assens,https://www.facebook.com/Lirekassevenner/,,1,,
20/7,Øster Hurup Sommerkoncert,Øster Hurup,https://oesterhurupsommerkoncert.dk/,,1,,
22-24/7,Bramfri Festival,"Tranekær, Rudkøbing, Bagenkop",https://bramfrifestival.dk/,,1,,
25-27/7,Fanø Free Folk Festival,"Sønderho, Fanø ",https://www.facebook.com/fanofreefolk/,,1,,
25-27/7,Ø Festival,Langeland,https://ø-festival.dk/,,1,,
25-27/7,Hansted Live,Svendborg,https://www.hanstedlive.dk/,,1,,
25-27/7,Varde Open Air,Varde ,https://vardeopenair.dk/,,2,,
25-27/7,Alive Festival,Thisted,https://alivefestival.dk/,,2,,
25-27/7,Blaagaards Festival,København,https://www.blaagaards-festival.dk/,,1,,
?,Nakkefestival,Odsherred,http://www.nakkefestival.dk,,1,,
?,Mosstock Festival,Skanderborg,https://mosstock.dk/,,1,,
?,Grøn,"Esbjerg, Odense, Næstved, Valby",https://groenkoncert.dk/,,4,,
?,Sejerø Festival,Sejerø,https://sejeroe.dk/wp/sejeroe-festival/,,1,,
26-27/7,Carpark Festival,København,https://www.carparkfestival.dk/,,1,,
27/7,Musik i Gentofte,Gentofte,https://www.musikigentofte.dk/,,1,,
27/7,Open Air Ebeltoft,Ebeltoft,https://www.facebook.com/podiet,,1,,
?,Stella Polaris,Århus,http://www.stella-polaris.dk/,,1,,
31/7-3/8,Bork Festival,Hemmet,https://borkfestival.dk/,,3,,
31/7-3/8,Ærø Jazzfestival,Ærøskøbing,https://www.aeroejazzfestival.dk/,,1,,
31/7-3/8,Skarø Festival,Skarø,http://skaroefestivalen.dk/,,1,,
31/7-4/8,Femø Jazz Festival,Femø,https://femoejazz.dk/,,1,,
,,,,,,,
August,,,,,,,
?,Nykøbing/Rørvig Jazzfestival,Nykøbing Sjælland,https://www.facebook.com/profile.php?id=100057450789996,,1,,
1-3/8,Frederikssund Festival,Frederikssund,https://frederikssund-festival.dk/,,1,,
1-3/8,Ringsted Festival,Ringsted,https://www.ringstedfestival.dk/,,2,,
1-3/8,O Days,København,https://odaysfestival.dk/,,1,,
1-3/8,GrimFest,Aarhus,https://grimfest.dk/,,2,,
1-3/8,Aiasound Festival,København,https://www.aiasound.dk/,,1,,
?,Helsingør Festival,Helsingør,https://www.facebook.com/Helsingorfestival.dk,,2,,
1-4/8,Musik over Præstø Fjord,Tappernøje,https://www.mopf.dk/,,1,,
1-4/8,Kill-Town Death Fest,København,https://www.killtowndeathfest.com/,,1,,
2/8,Jætterock,Suldrup,https://www.facebook.com/jaetterock2014,,1,,
?,Nordlyd Festival,Roskilde,https://nordlydfestival.dk/,,1,,
2-3/8,Vejrumbro Openair,Vejrumbro,https://vejrumbroopenair.dk/,,1,,
2-3/8,Vestpark Festival,Langå,https://vestpark.dk/,,1,,
2-3/8,New Note,Hillerød,https://www.newnote.dk/,,1,,
2-4/8,Vesterhavsrock,Fjerritslev,https://www.vesterhavsrock.dk/,,1,,
3/8,Musik i Gryden,Grindsted,https://musikigryden.dk/,,1,,
3/8,Steensgaard Gods Open Air,Langeland,https://steensgaardopenair.dk/,,1,,
3/8,JelsFest,Jels,https://jelsfest.dk/,,1,,
3/8,Badesøen Festival,Albertslund,http://www.badesoen.dk/,,1,,
3/8,Picnic på plænen,Thyholm,https://hoeloftet.unitedtickets.dk/event/picnic-pa-planen-vennerne-til-fos-da/holoftet/2854848,,1,,
3/8,Randers Country Festival,Randers,https://www.memphismansion.dk/vare/randers-country-festival-2024-2/,,2,,
?,Stella Polaris,Frederiksberg,http://www.stella-polaris.dk/festival-info/frederiksberg/,,1,,
4-11/8,Smukfest,Skanderborg,https://www.smukfest.dk/,,5,,
4-15/8,Copenhagen Summer Festival,København,https://www.copenhagensummerfestival.dk/,,1,,
7-11/8,Positive Trace Festival,Vistoft,https://www.navusevents.com/positive-trace-festival-2024,,1,,
8-10/8,Stauning Jazzfestival,Stauning,https://stauningjazzfestival.dk/,,2,,
8-10/8,Syd For Solen,København ,https://sydforsolen.dk/,,3,,
?,Immense Festival,Århus ,https://www.immensefestival.dk/,,1,,
8-10/8,Kalundborg Rocker,Kalundborg,https://kalundborg-rocker.dk,,2,,
9-10/8,Frigjort Festival,København,https://www.facebook.com/frigjortfestival/,,1,,
9-10/8,Asgaard Rock Festival,Asnæs,https://www.asgaardrockfestival.dk/,,1,,
9-10/8,Rock ved ruinen,Gilleleje,http://rockvedruinen.dk/,,1,,
9-10/8,One Love Copenhagen,København,http://www.onelovecopenhagen.com/,,1,,
10/8,Bålhøj Festival,Øster Brønderslev ,https://fowli.dk/,,1,,
10/8,Vi Elsker Rødovre,Rødovre ,https://vielsker.dk/,,2,,
10/8,Picnic på plænen,Thyholm,https://hoeloftet.unitedtickets.dk/event/picnic-pa-planen-vennerne-til-fos-da/holoftet/2914837,,1,,
15-17/8,Gutter Island,Vordingborg,https://www.gutter-island.dk/,,1,,
15-18/8,Wonderfestiwall,Allinge,https://www.wonderfestiwall.dk/,,1,,
15-25/8,H.C. Andersen Festivals,Odense ,https://www.hcafestivals.dk/,,3,,
16-17/8,Jailbreak,Horsens,https://www.jailbreak.dk/,,3,,
16-17/8,Mejerhell,Morud,https://mejerhell.com/,,1,,
16-17/8,Jyllinge Festival,Jyllinge,https://www.jyllingefestival.dk/,,1,,
16-18/8,Dolphin Allstars Festival,Herning,https://www.dolphinherning.dk/events/dolphin-allstars-festival-2024/,,1,,
16-17/8,Ilter,Odense,https://www.facebook.com/ILTERFESTIVAL/,,1,,
16-17/8,Suset Festival,Esbjerg,https://www.suset.dk/,,1,,
17/8,Tange Sø Festival,Ans ,https://tsfestival.dk/,,1,,
17/8,Blue Bridge,Sønder Bjert ,https://www.bluebridge.dk/festivalen/,,1,,
?,Aalborg Opera Festival,Aalborg,https://www.aalborgopera.dk/,,2,,
17/8,Kongehøjfestival,Aabenraa,https://kongehøjfestival.dk/,,1,,
17/8,Mini Festival,Sønderborg,https://kulturisyd.dk/arrangementer/vis-arrangement?PID=2569&itemId=Arrangement:556,,1,,
17/8,Vi Elsker Aalborg,Aalborg ,https://vielsker.dk/,,2,,
17/8,Resenlund Open Air,Skive ,https://resenlundopenair.dk/,,2,,
17/8,Foxtail Festival,København,https://foxtail.dk/,,1,,
17-19/8,Uhørt Festival,København,https://www.uhoert.dk/,,1,,
?,En Sommerdag på Bellahøj,København,https://www.facebook.com/PaaBellahoej,,1,,
17-19/8,Hill Festival Pride Week,København ,https://gravitycph.dk/event/hill-festival-pride-week/,,1,,
18/8,Gimsinghoved Festival,Struer,https://gimsinghoved.dk/gimsinghoved-festival-2024/,,1,,
21-24/8,Tønder Festival,Tønder ,https://tf.dk/en/forside-tf/,,4,,
22-24/8,Folkely Festival,Hundested,https://www.folkely.dk/,,1,,
22-24/8,Karrusel,København,https://www.karrusel.dk/,,1,,
22-25/8,Strøm Festival,København,https://strm.dk/,,1,,
23-24/8,Soul Garden,Helsingør,https://soulgardendk.com/,,1,,
?,Alerta Festival,København,https://www.facebook.com/AlertaFestivaldk/,,1,,
?,Escape Festival,Lyø,https://escapefestival.dk/,,1,,
23-24/8,Boringhell Fest, Rask Mølle,https://www.boringhell.dk/,,1,,
?,Moselund Festival,Århus,,,1,,
24/8,Vi Elsker Odense,Odense,https://vielsker.dk/,,2,,
24/8,Dødsgangen,Vridsløse Lille,https://forbraendingen.dk/events/doedsgangen/,,1,,
24/8,Vi Elsker Esbjerg,Esbjerg,https://vielsker.dk/,,2,,
24/8,Olympen Live,Vester Skerninge,https://liveculture.dk/olympen/,,1,,
?,Tornvang Open Air,Tornvang,https://www.facebook.com/tornvangopenair/,,1,,
?,Gutter City,København,,,1,,
?,Give Festival,Give,https://givefestival.dk/,,2,,
29-31/8,Næstved Metalfest,Næstved,https://www.naestvedmetalfest.dk/,,2,,
29-31/8,Jelling Country Weekend,Jelling,https://jellingcountryweekend.dk/,,2,,
29/8-1/9,Ambufest,Hobro,https://ambufest.dk/,,2,,
30-31/8,Gjølen Festival,Aabybro,http://gjoelenfestival.dk/,,1,,
31/8,Fyrværkeri Festival,Viborg ,https://fyrfest.dk/,,2,,
31/8,Glostrup Kulturfest,Glostrup ,https://www.glostrup.dk/borger/kultur-fritid-og-frivillighed/events#kulturfest,,1,,
,,,,,,,
September,,,,,,,
5-7/9,Midtfyns Festival,Ringe,https://www.midtfynsfestival.dk/,,2,,
6-7/9,Nær,Langeland,https://nær-langeland.dk/,,1,,
6-7/9,Danmarks Største Vejfest,Silkeborg,https://danmarksstørstevejfest.dk/,,2,,
6-7/9,Fanø Vesterland,"Kikkebjergplantagen, Fanø ",https://fanovesterland.dk/,,1,,
6-7/9,Generator,Odense,https://generatorfestival.dk/,,1,,
7/9,Nordsjæl,Hellebæk,https://www.nordsjael.dk/,,1,,
?,Re:Claim Festival,København,,,1,,
?,Fest i Dalen,Bonderup,,,1,,
7/9,Life is Live Festival,Århus,https://www.musikhuset.dk/kalender/life-is-live-festival,,1,,
7-8/9,Death Island Festival,Mors,https://www.facebook.com/Death.Island.Festival/,,1,,
?,Atlantia Sommerlyd,Slagelse,https://www.sommerlyd.dk/,,1,,
?,Blue Ocean Music Festival,Ebeltoft,,,1,,
?,Vibstock,Viborg,https://vibstock.dk/,,1,,
?,Copenhagen Metal Fest,København,https://www.copenhagenmetalfest.dk/,,2,,
13-15/9,Nashville Nights,Odense,https://nnisf.org/da/nashville-night-international-songwriters-festival/,,2,,
?,Lasher Fest,Aalborg,,,1,,
?,September Sounds,Horsens,,,1,,
?,Aarhus Folk Festival,Århus,https://www.aarhusfolkfestival.dk/,,1,,
19-21/9,Københavns Oktoberfest,København,https://www.oktoberfestdk.dk/,,1,,
,,,,,,,
Oktober,,,,,,,
?,Knejpe Festival,Helsingør,https://kuto.dk/knejpe/,,2,,
?,Køge Metal Festival,Køge,,,1,,
?,Opus Festival,Århus,https://www.facebook.com/opuspianofestival/,,1,,
?,En Festival,Hjørring,,,1,,
?,Odense Metalfest,Odense,https://odensemetal.dk/,,1,,
,,,,,,,
November,,,,,,,
?,Festival of Endless Gratitude,København,https://foeg.dk/,,1,,
8-9/11,Blues Heaven,Frederikshavn,https://bluesheaven.dk/,,2,,
?,Way Up North,Aalborg,https://www.wayupnorth.dk/way-up-north-festival/,,1,,
?,Grim X Musikhuset,Århus,https://grimfest.dk/grim-x-musikhuset/,,1,,
?,Falk Festival,Herning,,,1,,